MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Jeremy Scott: The People's Designer,(2015),"Documentary, Biography  ",6.5  ,"The story of fashion designer Jeremy Scott's ascent from a small town in Missouri to his current position as the Creative Director of Moschino.","
    Director:
Vlad Yudin
| 
    Stars:
Jeremy Scott, 
Devon Aoki, 
C.L., 
Eva Chen
",395,110.0,
 Cannon Busters,(2019– ),"Animation, Fantasy  ",63.0  ,"Add a Plot","
            
    Stars:
Greg Chun, 
Trevor Devall, 
Joe Hanna, 
Kenn Michael
",35,,
Hey Duggee,(2014– ),"Animation, Family  ",89.0  ,"Duggee looks after the Squirrels, who earn different badges on their adventures.","
            
    Stars:
Alexander Armstrong, 
Jasmine Bartholomew, 
Alfie Sanderson, 
Poppie Boyes
",881,7.0,
 Power Rangers Beast Morphers,(2019–2020),"Action, Adventure, Drama  ",7.8  ,"Nate and Steel accidentally swap bodies.","
    Director:
Oliver Driver
| 
    Stars:
Rorrie D. Travis, 
Jasmeet Baduwalia, 
Jacqueline Scislowski, 
Abraham Rodriguez
",21,,
Pulang,(2018),Drama,67.0,PULANG is about a man from a village who sails around the world hoping for riches as his wife waits for his promised return for 61 years.,"
    Director:
Kabir Bhatia
| 
    Stars:
Remy Ishak, 
Puteri Aishah, 
Alvin Wong, 
Azrel Ismail
",571,120.0,
 Behind Her Eyes,(2021),"Drama, Mystery, Thriller  ",72.0  ,"""","
    Director:
Erik Richter Strand
| 
    Stars:
Simona Brown, 
Eve Hewson, 
Tom Bateman, 
Robert Aramayo
",917,50.0,
Beauty and the Beast,(1991),"Animation, Family, Fantasy  ",80.0  ,"Against her better judgment, Louise grows attached to both David and Adele, becoming increasingly enmeshed in their tense, complicated marriage.""","
    Directors:
Gary Trousdale, 
Kirk Wise
| 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
","425,384",84.0,$218.97M
 Freud,(2020– ),"Crime, History, Thriller  ",7.0  ,"""","
    Director:
Marvin Kren
| 
    Stars:
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
",306,51.0,
Little Hope Was Arson,(2013),"Documentary, Crime, Drama  ",6.6  ,"A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.""","
    Director:
Theo Love
| 
    Stars:
David Mahfood, 
Peggy Mahfood, 
Bill Parr, 
Lee Richards
",319,71.0,
The Stranger,(I) (2020),"Crime, Drama, Mystery",7.3,"""","
            
    Stars:
Richard Armitage, 
Shaun Dooley, 
Siobhan Finneran, 
Jacob Dudman
","38,697",363.0,
Melloga Chejil,(2019– ),"Comedy, Romance  ",82.0  ,"A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin Joo, Lee Eun Jung, and Hwang Han Joo.","
            
    Stars:
Woo-hee Chun, 
Jeon Yeo-bin, 
Han Ji-Eun, 
Jae-hong Ahn
",427,65.0,
Tiempo muerto,(2016),Drama  ,60.0  ,"Franco loses his investigative journalist girlfriend Julia in a traffic accident, and he'll do anything to get her back...","
    Director:
Victor Postiglione
| 
    Stars:
Luis Luque, 
Guillermo Pfening, 
María Nela Sinisterra
",183,103.0,
Untitled We Can Be Heroes Sequel,,"Action, Adventure, Family  ",0.0  ,"Add a Plot","
    Director:
Robert Rodriguez
",,,
Kung Fu Elliot,(2014),"Documentary, Biography, Comedy  ",65.0  ,"The film tells the bizarre story of Elliot 'White Lightning' Scott, who plans on becoming Canada's first kung fu action hero with his low-budget karate epic, Blood Fight.","
    Directors:
Matthew Bauckman, 
Jaret Belliveau
| 
    Star:
Elliot Scott
",335,81.0,
Sky Ladder: The Art of Cai Guo-Qiang,(2016),Documentary,7.3,"Trace the rise of contemporary artist Cai Guo-Qiang from childhood in Mao's China to global art world superstar, and join his quest to realize his lifelong obsession: Sky Ladder.","
    Director:
Kevin Macdonald
| 
    Stars:
Ian Buruma, 
Guo-Qiang Cai, 
Wen-You Cai, 
Wenhao Cai
","1,323",76.0,
Juana Brava,(2015),rama  ,70.0  ,"After many years away, a woman returns to her hometown, where her mayor father presides over a corrupt, lawless and rundown municipality.","
            
    Stars:
Elisa Zulueta, 
Lux Pascal, 
Gastón Salgado, 
Nelson Brodt
",21,60.0,
Public Enemies,(2009),"Biography, Crime, Drama  ",7.0  ,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","
    Director:
Michael Mann
| 
    Stars:
Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke
","288,097",140.0,$97.10M
Life in Our Universe,(2013– ),Documentary  ,77.0  ,"This series is a relatively deep quantitative analysis of chances of life (both intelligent and simple) plus living/extinct) in our Milky Way galaxy centered on the Drake equation. It also ...                See full summary »","
            
    Star:
Laird Close
",18,,
 Fuller House,(2016–2020),"Comedy, Family  ",8.6  ,"DJ and Steph help Fernando with his re-proposal to Kimmy, sending Kimmy to the Emergency Room and Jimmy loses the engagement ring. A surprise happens.","
    Director:
Richard Correll
| 
    Stars:
Candace Cameron Bure, 
Jodie Sweetin, 
Andrea Barber, 
Michael Campion
",241,,
Hurricane of Fun: The Making of Wet Hot,(2015),Documentary,70.0,"In 2000, David Wain and Michael Showalter set out to make their first film Wet Hot American Summer. It was a low budget independent film and they cast their friends and a handful of unknown...                See full summary »","
    Director:
Amy Rice
| 
    Stars:
Elizabeth Banks, 
Michael Ian Black, 
Bradley Cooper, 
Janeane Garofalo
","1,475",64.0,
 Baki,(2018–2020),"Animation, Action, Drama  ",8.0  ,"He who wins this match will be the strongest man on earth. The battle intensifies. The best martial artist vs the strongest.","
    Director:
Toshiki Hirano
| 
    Stars:
Troy Baker, 
Ogie Banks, 
Chris Hackney, 
Darin De Paul
",75,24.0,
Bajo la piel de lobo,(2017),"Action, Adventure, Drama  ",5.8  ,"A highlander that lives alone in the mountains buys a wife to relieve his loneliness.","
    Director:
Samu Fuentes
| 
    Stars:
Mario Casas, 
Irene Escolar, 
Ruth Díaz, 
Kandido Uranga
","2,744",110.0,
Tatlim Tatlim,(2017),"Comedy, Romance  ",10.0  ,"If four couples meet at the same party, and a honey-sweet relationship begins between them, a surreal love out of nowhere - If every phase of the relationship is a situation comedy, where ... See full summary »","
    Director:
Yilmaz Erdogan
| 
    Stars:
Aylin Kontante, 
Bülent Emrah Parlak, 
Büsra Pekin, 
Çaglar Çorumlu
","3,021",95.0,
 The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime  ",10.0  ,"A flat tire forces the unlikely trio of travelers to seek refuge at a roadside inn run by a man who's desperate for company.","
    Director:
Lucy Forbes
| 
    Stars:
Jessica Barden, 
Alex Lawther, 
Naomi Ackie, 
Tim Key
","2,320",24.0,
Beat Bugs: Happy Birthday to You!,(2017 TV Special),"Animation, Short",0.0,They say it's your birthday - and there's no one better than the Beat Bugs to serenade you with a festive Beatles tune.,"
",,1.0,
Lord Put a Ring on It,(2016),"Comedy, Drama  ",7.5  ,"""","
    Director:
Tikki Collins
| 
    Stars:
Jabriah Anderson, 
Calvin Collins, 
Tikki Collins, 
Donna Griggs
",21,94.0,
12 Rounds 3: Lockdown,(2015),"Action, Crime, Thriller  ",10.0  ,Romantic Christian comedy about navigating relationships - from being single looking for Mr. Right in all the wrong places and blended families navigating the challenges of becoming one ...                See full summary »,"
    Director:
Stephen Reynolds
| 
    Stars:
Jonathan Good, 
Roger Cross, 
Daniel Cudmore, 
Lochlyn Munro
","4,021",90.0,
 One Piece,,"Action, Adventure, Fantasy  ",0.0  ,"""","
",,,
 Bleach: Burîchi,(2004–2012),"Animation, Action, Adventure  ",89.0  ,"Upon returning to work after recovering from an injury, a police officer discovers and attempts to turn in incriminating evidence of illegal activities against his fellow cops.""","
    Directors:
Noriyuki Abe, 
Kôji Aritomi
| 
    Stars:
Masakazu Morita, 
Fumiko Orikasa, 
Takayuki Sugô, 
Ryôtarô Okiayu
",188,24.0,
 Dark Desire,(2020– ),"Drama, Mystery, Thriller",72.0,"""","
            
    Stars:
Maite Perroni, 
Erik Hayser, 
Alejandro Speitzer, 
Jorge Poza
",92,,
Rurôni Kenshin: Sai shûshô - The Final,(2021),"Action, Adventure, Drama  ",7.2  ,"Kenshin's past catches up to him causing the destruction of Akabeko Restaurant, which was Kenshin's favorite place to eat. There, he finds a note with the word ""Junchu"" on it.","
    Director:
Keishi Ohtomo
| 
    Stars:
Takeru Satoh, 
Shin'nosuke Abe, 
Yû Aoi, 
Munetaka Aoki
","4,682",138.0,
MeatEater,(2012– ),Documentary  ,7.7  ,A man travels around the vast wilderness hunting various animals. He hunts everything from birds to bears. Once the animal is bagged he demonstrates how to process the game and cook it.,"
            
    Stars:
Steven Rinella, 
Joe Rogan, 
Bryan Callen, 
Remi Warren
","1,247",21.0,
 Avatar: The Last Airbender,(2005–2008),"Animation, Action, Adventure  ",8.9  ,"After deciding he's the least valuable member of the team, Sokka seeks an apprenticeship with a sword-master. The rest of the gang tries to adjust to being without him. The imprisoned Iroh may not be as beaten as he seems.","
    Director:
Giancarlo Volpe
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,109",25.0,
 Fatma,(2021– ),"Crime, Drama, Thriller  ",8.0  ,Fatma seeks justice in a blistering coup de grace - but guilt looms over her. Emine grapples with a startling revelation about Oguz's death.,"
    Director:
Ozgur Onurme
| 
    Stars:
Burcu Biricik, 
Ugur Yücel, 
Mehmet Yilmaz Ak, 
Hazal Türesan
",197,,
 Las mágicas historias de Plim Plim,(2011–2016),"Animation, Comedy, Family",0.0,Add a Plot,"
    Directors:
Mikhail Plata, 
Michael Fuer, 
Mejo Joseph, 
Normandy Vamos, 
Hubert Zapalowicz
| 
    Stars:
Tian Brass, 
Kerr Logan, 
Emilio A. Villarino
",,,
Pek Yakinda,(2014),"Comedy, Drama, Romance  ",7.4  ,"Pirated DVD seller Zafer, who is formerly an extra in movies, swore to give up illegal work when his wife wanted to get a divorce. To win his family back, he and his old-fashioned crew ... See full summary »","
    Director:
Cem Yilmaz
| 
    Stars:
Cem Yilmaz, 
Tülin Özen, 
Zafer Algöz, 
Özkan Ugur
","32,708",134.0,
Los Inocentes,(2015),Horror  ,5.2  ,"In 19th century Argentina, when a man returns to his family's plantation after 15 years, it revives a violent past, slave abuses, and evil spirits.","
    Director:
Mauricio Brunetti
| 
    Stars:
María Eugenia Arboleda, 
Lito Cruz, 
Stella Delphino, 
Ludovico Di Santo
",454,98.0,
Uncut Gems,(2019),"Crime, Drama, Thriller  ",7.4  ,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","
    Directors:
Benny Safdie, 
Josh Safdie
| 
    Stars:
Adam Sandler, 
Julia Fox, 
Idina Menzel, 
Mesfin Lamengo
","239,770",135.0,
Bameul geotneun seonbi,(2015),"Action, Fantasy, History  ",7.3  ,"Set in an alternate Joseon dynasty, Jo Yang-sun (Lee Yu Bi) is the daughter of a nobleman whose family loses everything when her father is framed for treason. To make ends meet, Yang-sun ... See full summary »","
            
    Stars:
Lee Joon-Gi, 
Tae-Hwan Choi, 
Jang Hie-jin, 
Chang-min Shim
",792,,
 Russian Doll,(2019– ),"Adventure, Comedy, Drama",0.0,Add a Plot,"
            
    Stars:
Annie Murphy, 
Sharlto Copley, 
Ephraim Sykes, 
Carolyn Michelle Smith
",,,
 The Rain,(2018–2020),"Drama, Sci-Fi, Thriller  ",75.0  ,"In the wake of their grim encounter, Martin and Patrick race back to the base. Meanwhile, a grief-stricken survivor plots revenge.","
    Director:
Josefine Kirkeskov
| 
    Stars:
Alba August, 
Lucas Lynggaard Tønnesen, 
Mikkel Boe Følsgaard, 
Lukas Løkken
",614,42.0,
Modern Family,(2009–2020),"Comedy, Drama, Romance  ",84.0  ,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"
            
    Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell
","378,030",22.0,
 Painkiller,(I),"Crime, Drama  ",1.0  ,Add a Plot,"
    Director:
Peter Berg
",,,
The Other Side of the Wind,(2018),Drama  ,6.8  ,A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.,"
    Director:
Orson Welles
| 
    Stars:
John Huston, 
Oja Kodar, 
Peter Bogdanovich, 
Susan Strasberg
","6,717",122.0,
 Casi Feliz,(2020– ),Comedy,67.0,Add a Plot,"
            
    Stars:
Sebastián Wainraich, 
Natalie Pérez, 
Santiago Korovsky, 
Hugo Arana
",31,27.0,
Shingeki no kyojin,(2013–2022),"Animation, Action, Adventure  ",9.0  ,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","
            
    Stars:
Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
","242,582",24.0,
Live at the Foxes Den,(2013),Drama  ,5.0  ,"A corporate lawyer reconsiders his career options after making friends with the staff and regulars at a cocktail lounge called The Foxes Den.","
    Director:
Michael Kristoff
| 
    Stars:
Jackson Rathbone, 
Jack Holmes, 
Jocelin Donahue, 
Elliott Gould
",141,103.0,
